name	brand	sale_day	sale_price	description	weight
Тавилганд суурилдаг печь	SAMSUNG	22	599,970₮	-25%	20л
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	149,970₮	-25%	1
Кофе машин KRUPS	KRUPS	55	2,249,970₮	-25%	8.71 кг
Хөргөгч HITACHI R-VG540PG7	HITACHI	55	3,599,970₮	-25%	Big 2 Door
Хөргөгч HITACHI R-VG540PG7	HITACHI	55	3,599,970₮	-25%	Дээрээ хөлдөөгчтэй
Бикини үс авагч	PHILIPS	55	109,970₮	-25%	BRT383/15
Кофе чанагч MOULINEX	MOULINEX	55	239,970₮	-25%	1.42 кг
Печь LG MS2535GIS	LG	00	449,990₮	-25%	LED
Хөргөгч BEKO CNMV5335E20VS	BEKO	55	1,799,970₮	-25%	Доороо хөлдөөгчтэй
Чихэвч Vertux Bogota	VERTUX	55	119,970₮	-25%	0.52
Угаалгын машин/Хатаагч SAMSUNG	SAMSUNG	22	2,399,970₮	-25%	Бүрэн автомат
Шарах шүүгээ GORENJE	GORENJE	55	1,949,970₮	-25%	71 л
Gaming mouse Vertux	VERTUX	55	59,970₮	-25%	04MSVXARGON
Угаалгын машин/Хагас автомат/	HITACHI	55	1,199,970₮	-25%	Хагас автомат
Ус буцалгагч GORENJE	1002972	55	149,970₮	-25%	2200Вт
Жигнүүр MONEL ML12AА	MONEL	00	119,970₮	-25%	2.5
Зурагт LG 75QNED816RA	LG	33	6,799,990₮	-24%	75 инч
Угаалгын машин BEKO	BEKO	55	1,289,970₮	-24%	Бүрэн автомат
Холигч Russell Hobbs	RUSSELL HOBBS	55	249,970₮	-24%	2.3
Ус буцалгагч Russell	RUSSELL HOBBS	55	189,970₮	-24%	1.5
Чихэвч House of	House of Marley	55	75,970₮	-24%	0.02
Чихэвч House of	House of Marley	55	75,970₮	-24%	0.02
Хөлдөөгч ENJOY EJ200WH	ENJOY	55	649,970₮	-24%	200 л
Уурын шүүгээ LG	LG	55	5,599,970₮	-24%	S5BB
Жигнүүр MORPHY R	MORPHY RICHARDS	55	419,970₮	-24%	1800Вт
Электрон сойз ENJOY	ENJOY	00	15,999₮	-24%	0.1
Зурагт MI P1E	MI	33	2,499,990₮	-24%	65 инч
Индүү MORPHY R	MORPHY RICHARDS	55	479,970₮	-24%	350 мл
Хөргөгч HITACHI R-B410PG6	HITACHI	55	2,599,970₮	-24%	Stylish Bottom Freezer
Хөргөгч LG GC-B509SMUM	LG	00	2,649,990₮	-24%	Доороо хөлдөөгчтэй
Хөргөгч LG GC-B509SLCL	LG	55	2,799,970₮	-24%	Доороо хөлдөөгчтэй
Зурагт SAMSUNG UE65BU8000UXCE	SAMSUNG	00	2,899,970₮	-24%	65 инч
Кофе чанагч RUSSELL	RUSSELL HOBBS	55	319,970₮	-24%	LCD
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	189,970₮	-24%	1.15
Хөргөгч HITACHI R-VX470PG9	HITACHI	55	2,599,970₮	-24%	Дээрээ хөлдөөгчтэй
Талх шарагч Russell	RUSSELL HOBBS	55	249,970₮	-24%	3
