mark	price	produced_year	imported_year	distance	motor_volume	color	type	hurd	hodolguur
Toyota Prius 30	22.2	2014	2024	225000 км.	1.8 л	Бусад	Гэр бүлийн	Буруу	Хайбрид
Toyota Allion	15.0	2008	2017	150000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus CT	23.0	2011	2020	150000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	17.5	2010	2019	94560 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Ipsum	15.0	2009	2018	119000 км.	2.4 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Crown	39.0	2014	2023	154 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Wingroad	9.0	2013	2019	158788 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	22.7	2010	2024	162000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	78.0	2015	2023	121000 км.	3.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Sonata	30.0	2015	2024	170000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota FJ Cruiser	85.0	2012	2024	90000 км.	4.0 л	Хар	Жийп	Буруу	Бензин
Mercedes-Benz E-Class	100.0	2017	2022	50000 км.	2.0 л	Бор	Суудлын тэрэг	Зөв	Бензин
Toyota Prius 30	11.0	2010	2015	1800000 км.	1.7 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Alphard	100.0	2018	2023	140000 км.	2.5 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Lexus RX	52.0	2012	2021	138300 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	25.5	2012	2024	59000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	16.8	2013	2023	110000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	23.5	2008	2024	96000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	12.0	2011	2015	1 км.	1.7 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus LS	120.0	2019	2024	107000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Honda CR-V	70.0	2019	2023	37500 км.	1.5 л	Хар	Жийп	Буруу	Бензин
Toyota Camry	10.0	2006	2013	168656 км.	2.4 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Hilux	72.0	2007	2023	180000 км.	2.7 л	Бусад	Жийп	Буруу	Бензин
Toyota Camry	34.9	2012	2014	172500 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	25.0	2012	2022	160000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	25.0	2005	2014	166000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	16.5	2012	2022	290000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	24.5	2012	2021	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	32.0	2012	2023	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Subaru Forester	29.0	2012	2022	128000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Mitsubishi Colt	8.5	2010	2019	12345 км.	1.5 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Prius 55	35.5	2016	2024	150000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Highlander	40.0	2008	2019	120000 км.	3.3 л	Шаргал	Жийп	Зөв	Хайбрид
Toyota Vitz	5.5	2008	2014	1111111 км.	1.2 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	16.8	2009	2019	100 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota C-HR	49.0	2017	2024	62000 км.	1.8 л	Саарал	Жийп	Буруу	Хайбрид
Toyota Prius 30	15.5	2010	2020	185000 км.	0.5 л	Саарал	Суудлын тэрэг	Зөв	Бензин
Toyota Prius 40	28.5	2012	2024	160000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Nissan Juke	28.0	2015	2023	170000 км.	1.5 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 30	12.0	2009	2015	2600000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota RAV4	45.0	2017	2019	110000 км.	3.0 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Land Cruiser 200	190.0	2020	2020	79000 км.	4.0 л	Шаргал	Жийп	Зөв	Бензин
Toyota Hilux	60.0	2009	2022	169000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Kia Optima/K5	9.5	2012	2018	100000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Prius 30	24.0	2015	2023	300000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Subaru Forester	34.5	2015	2024	179000 км.	2.0 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 30	19.0	2013	2019	1800000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	26.9	2012	2024	209000 км.	1.8 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Mercedes-Benz E-Class	99.0	2017	2022	80000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Aqua	18.0	2014	2023	150 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Sai	23.0	2011	2021	140000 км.	2.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus RX	56.0	2011	2024	200000 км.	3.5 л	Цагаан шар	Жийп	Буруу	Хайбрид
Jeep Wrangler	65.0	2012	2013	200000 км.	3.6 л	Хар	Жийп	Зөв	Бензин
Lexus HS	27.0	2009	2022	136000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus RX	47.0	2012	2019	0 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Crown	13.5	2008	2013	154000 км.	3.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	20.5	2012	2022	150 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Starex	45.0	2017	2024	154000 км.	2.5 л	Саарал	Гэр бүлийн	Зөв	Дизель
Nissan Patrol	128.0	2015	2015	130000 км.	5.6 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 30	26.5	2014	2024	157000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	23.0	2010	2021	210 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	15.0	2008	2014	1 км.	4.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Kia Cadenza/K7	22.5	2014	2023	86000 км.	3.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Sai	26.0	2011	2023	1140000 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	15.8	2009	2019	2000000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	32.5	2013	2024	200000 км.	1.5 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	23.5	2009	2023	200000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Hilux	55.0	2010	2023	130000 км.	3.0 л	Хар	Жийп	Буруу	Дизель
Toyota Tacoma	70.0	2014	2014	150000 км.	2.7 л	Саарал	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	197.0	2017	2017	110000 км.	4.5 л	Бор	Жийп	Зөв	Дизель
Toyota Crown	125.0	2021	2023	10000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	13.8	2009	2018	250000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 105	76.0	2006	2006	188000 км.	4.5 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 40	28.0	2012	2024	280000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 50	27.6	2016	2024	298990 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	55.0	2011	2020	100000 км.	3.5 л	Цагаан шар	Жийп	Зөв	Хайбрид
Toyota Prius 20	13.0	2008	2017	10000000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Цахилгаан
Volkswagen Бусад	10.0	2014	2014	190000 км.	2.0 л	Цагаан шар	Жийп	Зөв	Дизель
Toyota Camry	13.5	2008	2018	141000 км.	2.4 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	16.2	2014	2024	170000 км.	1.3 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	15.8	2013	2021	150 км.	1.4 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	18.0	2014	2024	111 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Subaru Forester	39.5	2014	2024	109000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Honda Civic	4.5	2003	2011	250 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	26.5	2013	2022	177000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	75.0	2008	2008	140000 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Toyota Alphard	15.0	2005	2018	150000 км.	2.4 л	Бусад	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 20	8.5	2006	2013	380000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	41.0	2011	2023	109393 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 20	19.0	2008	2022	123456 км.	Цахилгаан	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	28.5	2012	2024	125000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus GS	43.0	2014	2019	150 км.	3.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	62.8	2014	2024	121000 км.	2.5 л	Саарал	Жийп	Буруу	Хайбрид
Toyota Camry	8.0	2006	2009	180700 км.	2.2 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Lexus RX	58.0	2013	2022	130000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Lexus RX	118.0	2017	2024	82491 км.	3.5 л	Бор	Жийп	Буруу	Хайбрид
Lexus RX	50.0	2009	2022	210000 км.	3.5 л	Цагаан шар	Жийп	Буруу	Хайбрид
Nissan Fuga	16.0	2011	2018	166000 км.	3.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	28.5	2011	2024	101000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	28.8	2013	2021	197000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Fielder	27.9	2015	2024	111111 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Ford F-сери	230.0	2019	2022	30500 км.	3.5 л	Хар	Жийп	Зөв	Бензин
Toyota Harrier	37.0	2007	2021	159000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Lexus RX	51.0	2011	2021	160000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 40	32.0	2014	2024	237000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	37.8	2014	2023	150000 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	22.8	2006	2024	100000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	185.0	2017	2017	70000 км.	4.6 л	Шаргал	Жийп	Зөв	Бензин
Toyota Land Cruiser Prado	100.0	2013	2024	70000 км.	4.0 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 30	31.0	2011	2024	118000 км.	1.8 л	Саарал	Суудлын тэрэг	Зөв	Хайбрид
Toyota Aqua	17.9	2013	2024	118000 км.	1.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	15.0	2010	2019	150000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	26.8	2011	2022	160000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	82.0	2011	2020	151400 км.	2.8 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 10	7.8	2000	2017	201000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vellfire	29.5	2010	2019	135000 км.	2.9 л	Бор	Гэр бүлийн	Буруу	Бензин
Toyota Camry	21.0	2012	2017	960000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	16.2	2013	2022	180000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	105.0	2013	2022	152000 км.	4.0 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 30	20.0	2010	2022	157000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	88.0	2008	2014	157000 км.	5.7 л	Саарал	Жийп	Зөв	Бензин
Toyota Prius 50	36.0	2017	2024	120000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	17.5	2010	2020	220000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus NX	61.0	2014	2022	158000 км.	2.5 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Land Cruiser Prado	138.0	2022	2023	10000 км.	2.7 л	Хар	Жийп	Зөв	Бензин
Nissan Advan	9.0	2012	2018	130000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus HS	28.0	2009	2022	165000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
BMW 6-сери	78.0	2015	2024	150000 км.	3.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota C-HR	49.0	2017	2024	120000 км.	1.9 л	Хар	Суудлын тэрэг	Буруу	Бензин
Nissan Navara	35.0	2007	2015	125000 км.	2.5 л	Хар	Жийп	Зөв	Дизель
Subaru Forester	15.5	2005	2015	180000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus GS	46.5	2012	2024	210000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	85.0	2015	2022	10 км.	3.0 л	Хар	Жийп	Буруу	Дизель
Toyota Prius 10	3.5	2000	2012	348 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Цахилгаан
Toyota Land Cruiser Prado	89.5	2015	2024	141000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Alphard	79.0	2015	2024	101000 км.	2.5 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Toyota Fielder	23.5	2018	2023	115000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	26.3	2012	2021	141400 км.	1.8 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Fielder	16.5	2015	2020	165878 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	26.9	2013	2024	162000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Subaru Forester	22.0	2009	2018	117200 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Land Cruiser 200	109.0	2013	2014	160000 км.	4.0 л	Шаргал	Жийп	Зөв	Бензин
Toyota Fielder	12.5	2008	2018	210000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	49.0	2013	2023	200000 км.	2.0 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Lexus LX	255.0	2017	2022	58888 км.	5.7 л	Шаргал	Жийп	Зөв	Бензин
Nissan Dualis/Qashqai	35.0	2015	2020	27631 км.	1.9 л	Хар	Суудлын тэрэг	Зөв	Дизель
Toyota Camry	26.0	2012	2021	150000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	23.5	2013	2023	140000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Starex	8.5	2009	2009	1820000 км.	2.5 л	Саарал	Гэр бүлийн	Зөв	Бензин
Toyota Land Cruiser 200	180.0	2018	2018	60000 км.	0.5 л	Шаргал	Жийп	Зөв	Дизель
Toyota Sai	25.0	2010	2022	105000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	59.0	2014	2024	160000 км.	1.8 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 40	22.8	2011	2020	180000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	49.0	2014	2022	80000 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 30	22.5	2011	2023	176000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	22.0	2012	2024	150000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	58.0	2006	2012	171000 км.	4.7 л	Саарал	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	165.0	2019	2019	61000 км.	4.5 л	Шаргал	Жийп	Зөв	Дизель
Toyota Prius 40	35.8	2015	2024	129000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Sonata	21.0	2015	2022	74000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Prius 30	25.0	2009	2024	150000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	20.7	2010	2024	137 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	23.5	2010	2024	1000 км.	1.8 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Toyota Vellfire	41.0	2009	2023	127000 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Alphard	40.0	2014	2022	237600 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Pickup	158.0	2021	2022	8800 км.	4.0 л	Бор	Жийп	Зөв	Бензин
Lexus LX	310.0	2019	2024	35000 км.	5.7 л	Цагаан шар	Жийп	Зөв	Бензин
Lexus GS	52.0	2016	2023	180000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Mercedes-Benz CLS-Class	50.0	2012	2012	63000 км.	3.2 л	Цагаан шар	Суудлын тэрэг	Зөв	Бензин
Toyota Prius 30	23.3	2014	2023	110000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Note	15.5	2013	2023	120000 км.	1.2 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	32.0	2012	2024	216000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	10.5	2007	2017	160000 км.	0.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	42.5	2015	2023	90000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Fielder	24.0	2017	2024	1800000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	89.0	2014	2024	130000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Hyundai Starex	16.0	2004	2011	123 км.	2.4 л	Хар	Гэр бүлийн	Зөв	Дизель
Toyota Prius 30	12.8	2009	2017	180000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser 200	167.0	2017	2017	90000 км.	4.0 л	Бор	Жийп	Зөв	Бензин
Toyota Harrier	44.0	2008	2023	134000 км.	3.3 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Voxy	32.8	2014	2024	112000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	15.5	2009	2017	111111 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Kia Sportage	8.0	2005	2013	1212452 км.	2.0 л	Хар	Жийп	Зөв	Дизель
Toyota Prius 40	24.8	2014	2021	150000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Lexus GX	132.0	2014	2014	34000 км.	4.6 л	Саарал	Жийп	Зөв	Бензин
Toyota Harrier	73.5	2017	2024	125000 км.	2.5 л	Бор	Жийп	Буруу	Хайбрид
Toyota Prius 20	13.0	2009	2018	0 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	15.0	2014	2023	75000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	100.0	2016	2019	95000 км.	3.5 л	Шаргал	Гэр бүлийн	Зөв	Бензин
Toyota Sai	17.5	2010	2018	1 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	48.0	2014	2022	60000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser Prado	139.0	2023	2024	0 км.	2.7 л	Цагаан шар	Жийп	Буруу	Бензин
Toyota Land Cruiser 200	168.0	2018	2024	62000 км.	4.7 л	Цагаан шар	Жийп	Буруу	Бензин
Toyota Fielder	26.5	2014	2023	196000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Nissan Juke	36.0	2017	2022	60000 км.	1.6 л	Хар	Жийп	Зөв	Бензин
Subaru Forester	31.0	2013	2022	2 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Sienta	26.5	2015	2024	102386 км.	1.5 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Mercedes-Benz M-Class	73.0	2014	2020	86000 км.	3.5 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 30	12.5	2010	2015	162544 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	185.0	2018	2019	100000 км.	4.4 л	Цагаан шар	Жийп	Зөв	Дизель
Toyota Highlander	37.0	2009	2015	100000 км.	3.3 л	Шаргал	Жийп	Зөв	Хайбрид
Toyota Hiace	44.0	2011	2024	260000 км.	2.7 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	16.0	2013	2022	150000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	63.9	2018	2023	200000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 40	30.5	2013	2024	250000 км.	1.8 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Toyota Sai	26.8	2010	2023	202000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Daihatsu Бусад	12.3	2016	2022	130 км.	0.6 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus HS	25.5	2010	2021	145000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Tucson	25.5	2016	2019	153000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
MINI Cooper	24.0	2011	2018	141300 км.	1.6 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	29.5	2013	2023	196000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Автомашин Бусад	79.0	2023	2023	1600 км.	1.5 л	Цагаан шар	Жийп	Зөв	Хайбрид
Toyota Camry	14.5	2009	2018	210 км.	2.4 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Ford Explorer	59.0	2011	2022	87000 км.	3.5 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 40	32.5	2013	2024	150000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota RAV4	145.0	2022	2022	9000 км.	2.8 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 30	17.8	2011	2021	110000 км.	1.7 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Renault Бусад	45.0	2018	2019	58000 км.	2.0 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 40	30.0	2014	2023	260000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 55	28.5	2016	2021	190000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	80.0	2014	2022	125000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Harrier	33.0	2008	2017	136000 км.	2.4 л	Шаргал	Жийп	Буруу	Бензин
Toyota Prius 40	28.0	2012	2022	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	41.5	2007	2023	87000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Nissan Note	8.0	2012	2017	1200000 км.	1.2 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	27.0	2013	2022	210000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Leaf	10.0	2014	2024	235000 км.	Цахилгаан	Хар	Суудлын тэрэг	Буруу	Цахилгаан
Toyota Prius 40	29.5	2013	2023	110000 км.	1.8 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	58.0	2006	2012	138000 км.	4.7 л	Шаргал	Жийп	Зөв	Бензин
BMW 5-сери	1.2	2004	2010	150000 км.	3.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Lexus LX	230.0	2016	2016	80000 км.	5.7 л	Хар	Жийп	Зөв	Бензин
Volkswagen Golf	20.0	2013	2020	85000 км.	1.2 л	Цагаан шар	Гэр бүлийн	Буруу	Бензин
Toyota Prius 30	24.0	2013	2023	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 10	3.5	2002	2013	1111111111 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	16.0	2011	2017	150000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 105	36.5	2004	2012	150000 км.	3.4 л	Шаргал	Жийп	Буруу	Бензин
Toyota Prius 40	27.5	2012	2024	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	21.8	2010	2024	150000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	55.5	2014	2023	130000 км.	2.4 л	Бор	Жийп	Буруу	Хайбрид
Toyota Prius 50	35.0	2017	2024	170 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Ford Pickup	230.0	2020	2020	60000 км.	3.5 л	Хар	Жийп	Зөв	Бензин
Toyota Hiace	50.0	2016	2022	50000 км.	2.0 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Prius 40	24.0	2012	2022	210000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Suzuki Grand Vitara	19.8	2009	2010	120 км.	2.4 л	Хар	Жийп	Зөв	Бензин
Chevrolet Tahoe	65.0	2011	2011	120000 км.	6.0 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Alphard	72.0	2017	2023	200 км.	2.5 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Peugeot Бусад	10.0	2014	2018	74000 км.	1.9 л	Саарал	Суудлын тэрэг	Буруу	Бензин
