,mark,price,produced_year,imported_year,type,hurd,hodolguur,distance_num,motor_vol
791,Toyota Prius 20,11.2,2004,2017,Суудлын тэрэг,False,Хайбрид,164619.0,1.0
792,Toyota Prius 40,22.5,2011,2019,Суудлын тэрэг,False,Хайбрид,203471.0,1.0
793,Toyota Prius 30,22.5,2012,2023,Суудлын тэрэг,False,Хайбрид,190000.0,1.0
794,Toyota Prius 30,26.0,2014,2024,Суудлын тэрэг,False,Бензин,179000.0,1.0
795,Toyota RAV4,5.5,1997,2007,Жийп,False,Бензин,198000.0,2.0
796,Toyota Prius 40,34.3,2016,2024,Суудлын тэрэг,False,Хайбрид,100000.0,1.0
797,Toyota Sai,18.0,2010,2019,Суудлын тэрэг,False,Бензин,100000.0,2.0
798,Lexus GX,130.0,2015,2020,Жийп,True,Бензин,89220.0,4.0
799,Toyota Prius 30,25.0,2012,2024,Суудлын тэрэг,False,Бензин,164000.0,1.0
800,Toyota Land Cruiser 200,118.0,2014,2015,Жийп,True,Дизель,151000.0,4.0
801,Suzuki Grand Vitara,35.0,2012,2013,Жийп,True,Бензин,120000.0,2.0
802,Toyota Prius 30,16.0,2009,2018,Суудлын тэрэг,False,Хайбрид,200000.0,1.0
803,Toyota Prius 20,13.5,2008,2017,Суудлын тэрэг,False,Хайбрид,199999.0,1.0
804,Toyota Prius 30,18.5,2011,2024,Суудлын тэрэг,False,Хайбрид,166000.0,1.0
805,Toyota Prius 20,8.5,2024,2015,Суудлын тэрэг,False,Бензин,8888888.0,1.0
806,Toyota Prius 40,37.5,2015,2024,Гэр бүлийн,False,Хайбрид,100000.0,1.0
807,Toyota Land Cruiser 200,250.0,2019,2020,Жийп,True,Бензин,21000.0,4.0
808,Toyota Camry,25.0,2012,2020,Суудлын тэрэг,False,Хайбрид,181000.0,2.0
809,Toyota Prius 20,10.5,2006,2018,Суудлын тэрэг,False,Бензин,220000.0,1.0
810,Mitsubishi Colt,6.5,2009,2019,Суудлын тэрэг,False,Бензин,160000.0,1.0
811,Toyota Prius 30,22.5,2012,2022,Суудлын тэрэг,False,Хайбрид,111111.0,1.0
812,Toyota Prius 40,28.4,2012,2023,Суудлын тэрэг,False,Хайбрид,211000.0,1.0
813,Nissan X-Trail,36.0,2015,2024,Жийп,False,Хайбрид,108000.0,2.0
814,Lexus RX,78.0,2014,2024,Гэр бүлийн,False,Хайбрид,140000.0,3.0
815,Toyota Prius 40,31.5,2012,2024,Суудлын тэрэг,False,Хайбрид,200000.0,1.0
816,Toyota Sai,24.0,2009,2023,Суудлын тэрэг,False,Хайбрид,160000.0,2.0
817,Toyota Crown,78.8,2018,2024,Суудлын тэрэг,False,Хайбрид,102000.0,2.0
818,Lexus LX,36.5,2002,2012,Жийп,True,Бензин,170000.0,4.0
819,Toyota Sai,19.3,2012,2019,Суудлын тэрэг,False,Хайбрид,140000.0,2.0
820,Toyota Prius 20,15.3,2005,2020,Суудлын тэрэг,False,Бензин,1800000.0,1.0
821,Toyota Prius 30,25.0,2012,2024,Суудлын тэрэг,False,Хайбрид,181000.0,1.0
822,Toyota Land Cruiser 300,280.0,2023,2023,Жийп,True,Бензин,8000.0,3.0
823,Toyota Camry,51.0,2018,2024,Суудлын тэрэг,False,Хайбрид,86155.0,2.0
824,Toyota Prius 30,22.0,2014,2024,Гэр бүлийн,False,Бензин,200100.0,1.0
825,Toyota Aqua,21.0,2014,2023,Суудлын тэрэг,False,Хайбрид,124000.0,1.0
826,Toyota Prius 20,12.5,2006,2015,Суудлын тэрэг,False,Бензин,150000.0,1.0
827,Hyundai Sonata,8.0,2012,2018,Суудлын тэрэг,True,Газ,111111111.0,2.0
828,Toyota Prius 20,14.0,2009,2018,Суудлын тэрэг,False,Хайбрид,200000.0,1.0
829,Hyundai Sonata,28.0,2015,2024,Суудлын тэрэг,True,Бензин,132000.0,2.0
830,Toyota Sai,19.5,2010,2020,Суудлын тэрэг,False,Бензин,140000.0,2.0
831,Toyota Prius 40,3.1,2012,2024,Гэр бүлийн,False,Бензин,200000.0,1.0
832,Toyota Land Cruiser 200,168.0,2018,2024,Жийп,False,Бензин,62000.0,4.0
833,Toyota Prius 30,22.0,2011,2024,Суудлын тэрэг,False,Хайбрид,134000.0,1.0
834,Toyota Sai,16.5,2010,2019,Суудлын тэрэг,False,Бензин,1000.0,2.0
835,Toyota Hilux,48.0,1999,2022,Жийп,False,Дизель,180000.0,4.0
836,Toyota Harrier,61.0,2014,2024,Жийп,False,Хайбрид,147000.0,2.0
837,Toyota Aqua,17.0,2014,2023,Суудлын тэрэг,False,Хайбрид,84000.0,1.0
838,Lexus RX,43.0,2007,2022,Суудлын тэрэг,True,Хайбрид,132214.0,3.0
839,Toyota Prius 30,12.8,2009,2018,Суудлын тэрэг,False,Хайбрид,298000.0,1.0
840,Toyota Prius 30,18.5,2012,2021,Суудлын тэрэг,False,Бензин,180000.0,1.0
841,Subaru Forester,8.5,2004,2013,Жийп,False,Бензин,280000.0,2.0
842,Toyota Crown,84.5,2018,2024,Суудлын тэрэг,False,Хайбрид,118000.0,2.0
843,Toyota Prius 30,16.5,2011,2020,Суудлын тэрэг,False,Бензин,150000.0,1.0
844,Subaru Legacy,16.0,2012,2021,Суудлын тэрэг,False,Бензин,200000.0,2.0
845,Toyota Townace,18.5,2013,2024,Гэр бүлийн,False,Бензин,138000.0,1.0
846,Toyota Camry,26.5,2012,2021,Суудлын тэрэг,False,Хайбрид,222000.0,2.0
847,Audi A3,25.0,2012,2022,Суудлын тэрэг,False,Бензин,90000.0,1.0
848,Toyota Hilux,51.0,2006,2022,Жийп,False,Бензин,107000.0,2.0
849,Toyota Crown,55.0,2014,2023,Суудлын тэрэг,False,Бензин,95000.0,3.0
850,Lexus HS,28.5,2011,2022,Суудлын тэрэг,False,Бензин,150000.0,2.0
851,Mercedes-Benz G-Class,520.0,2022,2022,Жийп,True,Бензин,13000.0,4.0
852,Daihatsu Hijet,9.5,2008,2021,Суудлын тэрэг,False,Бензин,238000.0,1.0
853,Lexus RX,49.0,2010,2021,Жийп,False,Хайбрид,100000.0,3.0
854,Lexus RX,103.0,2016,2024,Жийп,False,Хайбрид,113000.0,3.0
